time,lat,lon,elevation,accuracy,bearing,speed
2014-10-26T07:42:48Z,12.703612,74.606872,-96.000000,4.000000,12.700000,3.807887
2014-10-26T07:47:54Z,12.711770,74.609112,-95.000000,4.000000,31.500000,3.041381
2014-10-26T07:53:16Z,12.721179,74.611106,-85.000000,14.000000,15.000000,3.000000
2014-10-26T07:59:57Z,12.732781,74.613656,-92.000000,4.000000,24.500000,3.535534
2014-10-26T08:05:02Z,12.741381,74.616159,-68.000000,9.000000,3.100000,3.000000
2014-10-26T08:10:40Z,12.751302,74.618311,-123.000000,6.000000,27.299999,6.950719
2014-10-26T08:12:29Z,12.754634,74.619288,-85.000000,4.000000,6.700000,4.472136
2014-10-26T08:13:33Z,12.756557,74.619654,-102.000000,7.000000,9.700000,3.500000
2014-10-26T08:14:48Z,12.758739,74.620392,-97.000000,4.000000,15.300000,3.288237
2014-10-26T08:16:20Z,12.761418,74.621213,-86.000000,9.000000,11.500000,3.500000
2014-10-26T08:17:24Z,12.763421,74.621688,-92.000000,11.000000,356.299988,4.451123
2014-10-26T08:18:51Z,12.766049,74.621330,-108.000000,7.000000,352.100006,3.288237
2014-10-26T08:20:11Z,12.768590,74.621148,-125.000000,12.000000,12.900000,4.301163
2014-10-26T08:21:19Z,12.770652,74.620989,-73.000000,13.000000,348.600006,4.031129
2014-10-26T08:23:15Z,12.774359,74.620438,-100.000000,6.000000,357.399994,3.535534
2014-10-26T08:24:18Z,12.776318,74.620373,-111.000000,9.000000,2.500000,3.041381
2014-10-26T08:25:39Z,12.778858,74.620053,-131.000000,46.000000,347.000000,3.162278
2014-10-26T08:26:49Z,12.780965,74.619986,-106.000000,24.000000,352.299988,3.750000
2014-10-26T08:28:11Z,12.783627,74.619478,-98.000000,18.000000,351.899994,4.949748
2014-10-26T08:29:23Z,12.785746,74.619142,-108.000000,9.000000,355.600006,3.750000
2014-10-26T08:30:57Z,12.788687,74.618663,-164.000000,23.000000,8.700000,3.500000
2014-10-26T08:32:09Z,12.791139,74.618691,-83.000000,13.000000,21.400000,3.250000
2014-10-26T08:33:20Z,12.793210,74.619160,-97.000000,13.000000,16.100000,2.304886
2014-10-26T08:41:35Z,12.808656,74.617364,-66.000000,34.000000,343.600006,4.750000
2014-10-26T08:42:49Z,12.810875,74.617507,-90.000000,15.000000,3.800000,3.000000
2014-10-26T08:44:09Z,12.813431,74.617916,-118.000000,35.000000,3.900000,3.500000
2014-10-26T08:45:14Z,12.815471,74.617480,-43.000000,10.000000,336.700012,3.640055
2014-10-26T08:46:31Z,12.818290,74.617243,-55.000000,40.000000,342.899994,4.000000
2014-10-26T08:47:45Z,12.820698,74.617270,-157.000000,32.000000,357.700012,3.750000
2014-10-26T08:48:54Z,12.823374,74.617337,-194.000000,19.000000,10.800000,4.750000
